EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1618272106.470587,1989124.000,26774,2,AK,1,100,RD
1618272109.113304,1991685.000,27692,2,AK,1,100,26770
1618272111.756021,1994246.000,27692,2,AK,1,100,RD
1618272111.762212,1994252.000,27694,2,AK,1,100,27690
1618272111.768404,1994258.000,27694,2,AK,1,100,RD
1618272114.399770,1996808.000,28597,2,AK,1,100,27690
1618272117.031136,1999358.000,28597,2,AK,1,100,RD
1618272117.059513,1999385.500,28599,2,AK,1,100,28595
1618272117.087891,1999413.000,28599,2,AK,1,100,RD
1618272119.694491,2001939.000,29501,2,AK,1,100,28595
1618272122.301091,2004465.000,29501,2,AK,1,100,RD
1618272122.307283,2004471.000,29503,2,AK,1,100,29499
1618272122.313474,2004477.000,29503,2,AK,1,100,RD
1618272124.963930,2007045.500,30421,2,AK,1,100,29499
1618272127.614387,2009614.000,30421,2,AK,1,100,RD
1618272127.621094,2009620.500,30423,2,AK,1,100,30419
1618272127.627801,2009627.000,30423,2,AK,1,100,RD
1618272130.277742,2012195.000,31343,2,AK,1,100,30419
1618272132.927682,2014763.000,31343,2,AK,1,100,RD
1618272132.933358,2014768.500,31345,2,AK,1,100,31341
1618272132.939033,2014774.000,31345,2,AK,1,100,RD
1618272135.567820,2017321.500,32246,2,AK,1,100,31341
1618272138.196606,2019869.000,32246,2,AK,1,100,RD
1618272138.203829,2019876.000,32248,2,AK,1,100,32244
1618272138.211052,2019883.000,32248,2,AK,1,100,RD
1618272140.862541,2022452.500,33166,2,AK,1,100,32244
1618272143.514029,2025022.000,33166,2,AK,1,100,RD
1618272143.521768,2025029.500,33168,2,AK,1,100,33164
1618272143.529508,2025037.000,33168,2,AK,1,100,RD
1618272146.176868,2027602.500,34070,2,AK,1,100,33164
1618272148.824229,2030168.000,34070,2,AK,1,100,RD
1618272148.830420,2030174.000,34072,2,AK,1,100,34068
1618272148.836612,2030180.000,34072,2,AK,1,100,RD
1618272151.484488,2032746.000,34976,2,AK,1,100,34068
1618272154.132365,2035312.000,34976,2,AK,1,100,RD
1618272154.144748,2035324.000,34978,2,AK,1,100,34974
1618272154.157130,2035336.000,34978,2,AK,1,100,RD
1618272156.788496,2037886.000,35880,2,AK,1,100,34974
1618272159.419863,2040436.000,35880,2,AK,1,100,RD
1618272159.453400,2040468.500,35882,2,AK,1,100,35878
1618272159.486937,2040501.000,35882,2,AK,1,100,RD
1618272162.105920,2043039.000,36782,2,AK,1,100,35878
1618272164.724903,2045577.000,36782,2,AK,1,100,RD
1618272164.731094,2045583.000,36784,2,AK,1,100,36780
1618272164.737286,2045589.000,36784,2,AK,1,100,RD
1618272167.369168,2048139.500,37685,2,AK,1,100,36780
1618272170.001050,2050690.000,37685,2,AK,1,100,RD
1618272170.008273,2050697.000,37687,2,AK,1,100,37683
1618272170.015496,2050704.000,37687,2,AK,1,100,RD
1618272172.645831,2053253.000,38590,2,AK,1,100,37683
1618272175.276165,2055802.000,38590,2,AK,1,100,RD
1618272175.281840,2055807.500,38592,2,AK,1,100,38588
1618272175.287516,2055813.000,38592,2,AK,1,100,RD
1618272177.925589,2058369.500,39493,2,AK,1,100,38588
1618272180.563663,2060926.000,39493,2,AK,1,100,RD
1618272180.569338,2060931.500,39495,2,AK,1,100,39491
1618272180.575013,2060937.000,39495,2,AK,1,100,RD
1618272183.224954,2063505.000,40396,2,AK,1,100,39491
1618272185.874894,2066073.000,40396,2,AK,1,100,RD
1618272185.884181,2066082.000,40398,2,AK,1,100,40394
1618272185.893469,2066091.000,40398,2,AK,1,100,RD
1618272188.535670,2068651.500,41299,2,AK,1,100,40394
1618272191.177871,2071212.000,41299,2,AK,1,100,RD
1618272191.198509,2071232.000,41301,2,AK,1,100,41297
1618272191.219147,2071252.000,41301,2,AK,1,100,RD
1618272193.848449,2073800.000,42203,2,AK,1,100,41297
1618272196.477751,2076348.000,42203,2,AK,1,100,RD
1618272196.514900,2076384.000,42205,2,AK,1,100,42201
1618272196.552049,2076420.000,42205,2,AK,1,100,RD
1618272199.159681,2078947.000,43109,2,AK,1,100,42201
1618272201.767313,2081474.000,43109,2,AK,1,100,RD
1618272201.773504,2081480.000,43111,2,AK,1,100,43107
1618272201.779696,2081486.000,43111,2,AK,1,100,RD
1618272204.426025,2084050.500,44013,2,AK,1,100,43107
1618272207.072353,2086615.000,44013,2,AK,1,100,RD
1618272207.079061,2086621.500,44015,2,AK,1,100,44011
1618272207.085768,2086628.000,44015,2,AK,1,100,RD
1618272209.719198,2089180.000,44915,2,AK,1,100,44011
1618272212.352628,2091732.000,44915,2,AK,1,100,RD
1618272212.386681,2091765.000,44917,2,AK,1,100,44913
1618272212.420734,2091798.000,44917,2,AK,1,100,RD
1618272215.025270,2094322.000,45818,2,AK,1,100,44913
1618272217.629807,2096846.000,45818,2,AK,1,100,RD
1618272217.636514,2096852.500,45820,2,AK,1,100,45816
1618272217.643221,2096859.000,45820,2,AK,1,100,RD
1618272220.276135,2099410.500,46723,2,AK,1,100,45816
1618272222.909049,2101962.000,46723,2,AK,1,100,RD
1618272222.937943,2101990.000,46725,2,AK,1,100,46721
1618272222.966836,2102018.000,46725,2,AK,1,100,RD
1618272225.573952,2104544.500,47623,2,AK,1,100,46721
1618272228.181068,2107071.000,47623,2,AK,1,100,RD
1618272228.186744,2107076.500,47625,2,AK,1,100,47621
1618272228.192419,2107082.000,47625,2,AK,1,100,RD
1618272230.842876,2109650.500,48526,2,AK,1,100,47621
1618272233.493332,2112219.000,48526,2,AK,1,100,RD
1618272233.500039,2112225.500,48528,2,AK,1,100,48524
