EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T0
1618271663.779887,1560122.000,16540,1,T0,1,100,34.183
1618271663.913003,1560251.000,16558,1,T0,1,100,34.200
1618271664.047151,1560381.000,16576,1,T0,1,100,34.221
1618271664.179235,1560509.000,16611,1,T0,1,100,34.162
1618271664.312351,1560638.000,16629,1,T0,1,100,34.189
1618271664.445467,1560767.000,16648,1,T0,1,100,34.183
1618271664.578584,1560896.000,16682,1,T0,1,100,34.232
1618271664.712732,1561026.000,16701,1,T0,1,100,34.194
1618271664.844816,1561154.000,16720,1,T0,1,100,34.205
1618271664.977932,1561283.000,16738,1,T0,1,100,34.242
1618271665.111048,1561412.000,16772,1,T0,1,100,34.210
1618271665.245196,1561542.000,16791,1,T0,1,100,34.178
1618271665.377281,1561670.000,16809,1,T0,1,100,34.200
1618271665.508333,1561797.000,16828,1,T0,1,100,34.200
1618271665.642481,1561927.000,16863,1,T0,1,100,34.178
1618271665.775597,1562056.000,16881,1,T0,1,100,34.210
1618271665.909745,1562186.000,16900,1,T0,1,100,34.221
1618271666.042861,1562315.000,16934,1,T0,1,100,34.210
1618271666.175978,1562444.000,16952,1,T0,1,100,34.210
1618271666.311158,1562575.000,16971,1,T0,1,100,34.183
1618271666.443242,1562703.000,16989,1,T0,1,100,34.216
1618271666.577390,1562833.000,17023,1,T0,1,100,34.210
1618271666.709474,1562961.000,17043,1,T0,1,100,34.232
1618271666.842590,1563090.000,17061,1,T0,1,100,34.216
1618271666.975707,1563219.000,17096,1,T0,1,100,34.226
1618271667.108307,1563347.500,17119,2,T0,1,100,34.221
1618271667.240907,1563476.000,17119,2,T0,1,100,34.194
1618271667.374023,1563605.000,17154,1,T0,1,100,34.167
1618271667.507139,1563734.000,17173,1,T0,1,100,34.200
1618271667.639224,1563862.000,17191,1,T0,1,100,34.221
1618271667.772340,1563991.000,17227,1,T0,1,100,34.242
1618271667.906488,1564121.000,17245,1,T0,1,100,34.248
1618271668.039604,1564250.000,17263,1,T0,1,100,34.248
1618271668.173752,1564380.000,17282,1,T0,1,100,34.232
1618271668.305836,1564508.000,17316,1,T0,1,100,34.216
1618271668.438952,1564637.000,17334,1,T0,1,100,34.232
1618271668.573101,1564767.000,17353,1,T0,1,100,34.210
1618271668.705185,1564895.000,17372,1,T0,1,100,34.200
1618271668.839333,1565025.000,17406,1,T0,1,100,34.194
1618271668.971417,1565153.000,17425,1,T0,1,100,34.237
1618271669.103501,1565281.000,17443,1,T0,1,100,34.210
1618271669.236618,1565410.000,17478,1,T0,1,100,34.221
1618271669.368702,1565538.000,17496,1,T0,1,100,34.221
1618271669.501818,1565667.000,17514,1,T0,1,100,34.210
1618271669.634934,1565796.000,17533,1,T0,1,100,34.253
1618271669.769082,1565926.000,17568,1,T0,1,100,34.226
1618271669.901166,1566054.000,17586,1,T0,1,100,34.232
1618271670.035314,1566184.000,17605,1,T0,1,100,34.183
1618271670.168431,1566313.000,17623,1,T0,1,100,34.232
1618271670.300515,1566441.000,17657,1,T0,1,100,34.221
1618271670.433631,1566570.000,17676,1,T0,1,100,34.242
1618271670.565715,1566698.000,17694,1,T0,1,100,34.296
